T,x,y,z,Vx,Vy,Vz,V,Ax,Ay,Az,A,dx,dy,dz,displacement,V_pred_poly,V_pred_gpr,V_deviation_poly,V_deviation_gpr,V_pred,V_deviation,A_pred_poly,A_pred_gpr,A_deviation_poly,A_deviation_gpr,A_pred,A_deviation,displacement_pred_poly,displacement_pred_gpr,displacement_deviation_poly,displacement_deviation_gpr,displacement_pred,displacement_deviation
1,440769.1364477605,-103444.9737119937,1147017.522164065,15.78207995857837,-72.16854848388903,-81.16869289271823,110.8522362689716,1.025593106527567,-1.928169062908338,0.823325624266219,3.259641588860523,0.0,0.0,0.0,0.0,113.92000115316827,111.58951508014727,-3.067764884196677,-0.7372788111756705,111.58951508014727,-0.7372788111756705,1.8453201081605006,2.149290913597366,1.4143214807000222,1.110350675263157,2.149290913597366,1.110350675263157,97.16720984680897,29.7467073722906,-97.16720984680897,-29.7467073722906,29.7467073722906,-29.7467073722906
2,440784.9958709877,-103518.0643406232,1146936.279225683,15.99950265775092,-74.64373348046783,-81.1522040589584,112.6783696431226,0.4352621484957024,-0.9086124620487678,0.8886931307890686,2.784700142090944,15.85942322720075,-73.09062862949213,-81.24293838185258,110.4272445344504,113.82634864170659,112.58719642535826,-1.1479789985839943,0.09117321776433585,112.58719642535826,0.09117321776433585,1.7907212796065521,2.060944743319655,0.9939788624843917,0.723755398771289,2.060944743319655,0.723755398771289,98.2609590790439,94.77411925594373,12.166285455406495,15.653125278506664,94.77411925594373,15.653125278506664
3,440800.8542113357,-103598.0862735808,1146854.687128991,16.2560193892764,-76.19018773199203,-81.24221649986981,113.4991159059437,0.2927489239806273,-0.876222350635578,0.3606939719656527,1.891279909826907,15.858340348000638,-80.02193295760662,-81.59209669218399,115.37879768610615,113.73179744419006,113.41620830722063,-0.23268153824636784,0.08290759872306808,113.41620830722063,0.08290759872306808,1.7380768277212182,1.9589941313209447,0.1532030821056889,-0.06771422149403761,1.9589941313209447,-0.06771422149403761,99.30657735495573,119.04786616365575,16.07222033115042,-3.669068477549601,119.04786616365575,-3.669068477549601
4,440817.105539047,-103674.5115464596,1146772.933067214,16.77481990802871,-78.49079579454295,-80.55629149142534,114.5028259860815,0.9626057376684392,-0.705677492205684,0.5640805264758807,1.863228654399046,16.251327711273916,-76.42527287879784,-81.75406177691184,113.086933834113,113.63639638991303,114.01368159438171,0.8664295961684729,0.48914439169979573,114.01368159438171,0.48914439169979573,1.6873541560078689,1.846996966697842,0.17587449839117708,0.016231687701203867,1.846996966697842,0.016231687701203867,100.30494846216585,111.38171593065071,12.781985371947144,1.7052179034622839,111.38171593065071,1.7052179034622839
5,440831.76646717,-103750.8431862846,1146692.324442353,16.53608041762612,-77.67069929211131,-80.58006773422598,114.7046074328106,1.068698910127608,-0.4044858609231482,0.4701422644396764,0.9343833048290312,14.660928122990299,-76.33163982500264,-80.60862486087717,111.9786249860349,113.54019430816984,114.35027802745647,1.1644131246407596,0.35432940535413593,114.35027802745647,0.35432940535413593,1.6385206679698738,1.7288845408082731,-0.7041373631408426,-0.7945012359792419,1.7288845408082731,-0.7945012359792419,101.25695618829562,113.09395820526326,10.721668797739284,-1.1153332192283614,113.09395820526326,-1.1153332192283614
6,440849.6804719271,-103835.3858570676,1146610.932017873,16.90630776509351,-78.50278507035186,-79.97183086441963,114.5104830783441,0.8183849034862465,0.05292102138559907,1.04903962349599,1.232831544016272,17.91400475712726,-84.54267078299017,-81.39242448005825,118.7143694432204,113.44324002825485,114.43384546892361,1.067243050089246,0.07663760942048725,114.43384546892361,0.07663760942048725,1.5915437671106025,1.6087424324765431,-0.3587122230943305,-0.3759108884602711,1.6087424324765431,-0.3759108884602711,102.1634843209664,115.27520608231616,16.550885122254,3.439163360904246,115.27520608231616,3.439163360904246
7,440865.1071336241,-103909.5982802579,1146531.327336305,17.02143666042111,-79.34177568177128,-79.38114844457424,114.7195412729994,0.6853589748706601,0.9085671992071149,0.6899173790564563,1.294867283426551,15.426661696983501,-74.21242319029989,-79.60468156798743,109.91983885736921,113.3455823794624,114.3057821648407,1.3739588935369937,0.4137591081586862,114.3057821648407,0.4137591081586862,1.5463908569334248,1.4905833629611813,-0.2515235735068737,-0.19571607953463022,1.4905833629611813,-0.19571607953463022,103.02541664779959,112.2743136473148,6.894422209569626,-2.3544747899455842,112.2743136473148,-2.3544747899455842
8,440882.5580458688,-103991.6538073771,1146450.011252794,16.41186333059591,-78.5589727909981,-78.71232449245501,113.976560950576,-0.006521152135742725,0.3722795249775912,1.25383553700502,1.55375583471016,17.450912244734354,-82.05552711919881,-81.31608351110481,116.83299750741638,113.24727019108684,114.0309633419553,0.7292907594891602,-0.054402391379298365,114.0309633419553,-0.054402391379298365,1.5030293409417104,1.3781287506285445,0.05072649376844973,0.17562708408161565,1.3781287506285445,0.17562708408161565,103.84363695641653,114.0182734725811,12.989360550999848,2.8147240348352796,114.0182734725811,2.8147240348352796
9,440897.8845330189,-104070.2047959068,1146371.127465069,16.15235956466089,-78.24391169967447,-79.02930382054126,113.2382957006412,0.403192279063099,1.011135876312567,0.8185641268812047,1.373350588316604,15.326487150101457,-78.55098852970696,-78.88378772488795,112.3735332415136,113.14835229242252,113.68367225231727,0.08994340821868718,-0.4453765516760626,113.68367225231727,-0.4453765516760626,1.4614266226388288,1.274614727550141,-0.08807603432222488,0.09873586076646301,1.274614727550141,0.09873586076646301,104.6190290344386,113.00070590793173,7.754504207075001,-0.627172666418133,113.00070590793173,-0.627172666418133
10,440914.2412284916,-104148.136577136,1146291.896811722,16.66982144151345,-78.087026189737,-78.16782798005264,112.5746131604803,0.5808357546099671,-0.01083017900107516,0.7047329848193893,0.8220387764924597,16.356695472670253,-77.93178122919926,-79.23065334698185,112.33165378525793,113.04887751276377,113.33292060026494,-0.47426435228346975,-0.7583074397846445,113.33292060026494,-0.7583074397846445,1.4215501055281496,1.1826360404547247,-0.5995113290356899,-0.360597263962265,1.1826360404547247,-0.360597263962265,105.35247666948716,111.40912029297253,6.979177115770767,0.922533492285396,111.40912029297253,0.922533492285396
