T,x,y,z,Vx,Vy,Vz,V,Ax,Ay,Az,A,dx,dy,dz,displacement,V_pred_poly,V_pred_gpr,V_deviation_poly,V_deviation_gpr,V_pred,V_deviation,A_pred_poly,A_pred_gpr,A_deviation_poly,A_deviation_gpr,A_pred,A_deviation,displacement_pred_poly,displacement_pred_gpr,displacement_deviation_poly,displacement_deviation_gpr,displacement_pred,displacement_deviation
1,440769.7815028633,-103445.3507199264,1147017.420590025,18.04256170193633,-68.56585644490846,-78.0525485741241,112.5547264142829,4.872446066612957,-2.23479629548772,1.737664907371001,3.847471413763106,0.0,0.0,0.0,0.0,115.01804949990571,114.14190032953177,-2.463323085622818,-1.5871739152488686,114.14190032953177,-1.5871739152488686,3.187892885719237,3.8472668456056174,0.6595785280438693,0.00020456815748870483,3.8472668456056174,0.00020456815748870483,96.63725322015601,9.005542383519852,-96.63725322015601,-9.005542383519852,9.005542383519852,-9.005542383519852
2,440786.497094649,-103518.0508189112,1146937.993969977,17.96602583334058,-73.72442678299808,-80.56837248120023,115.1233554806684,2.600868347045484,0.6181717117114502,1.026303294748078,6.217651807769046,16.715591785730794,-72.70009898480203,-79.42662004800513,108.96468865369816,114.98027452646704,114.37076079750392,0.14308095420135203,0.7525946831644745,114.37076079750392,0.7525946831644745,3.1836640738248074,6.21683123724701,3.033987733944239,0.0008205705220367676,6.21683123724701,0.0008205705220367676,97.77676060379972,106.34690063088681,11.187928049898446,2.6177880228113537,106.34690063088681,2.6177880228113537
3,440800.809320419,-103598.2622478285,1146857.041657916,18.62878836142267,-73.81577495363294,-76.99986741684027,113.6612232691571,4.775434669115636,1.249766266076928,3.242718124695356,3.297024104624017,14.312225769972429,-80.21142891730415,-80.95231206086464,114.85638843114478,114.93982275023994,114.56897042675877,-1.2785994810828356,-0.907747157601662,114.56897042675877,-0.907747157601662,3.179303603723016,3.2969606243605853,0.11772050090100095,6.34802634316145e-05,3.2969606243605853,6.34802634316145e-05,98.86614156541671,115.05307551347285,15.990246865728068,-0.19668708232806864,115.05307551347285,-0.19668708232806864
4,440818.317863295,-103671.8566645168,1146777.266633927,20.65292442804553,-73.86377333041594,-78.5956919615206,114.7578423920339,2.746257956720421,-1.01064759840297,0.4222449967337852,3.252549892280367,17.508542875992134,-73.59441668829822,-79.77502398914658,109.93971845425217,114.8967659952487,114.73057563221896,-0.13892360321480623,0.027266759814935426,114.73057563221896,0.027266759814935426,3.1748161437285467,3.2524911112318757,0.07773374855182036,5.878104849132981e-05,3.2524911112318757,5.878104849132981e-05,99.9063183210149,109.76758904174345,10.03340013323728,0.17212941250872404,109.76758904174345,0.17212941250872404
5,440832.0144978595,-103747.2978412352,1146695.506698355,17.68951520771177,-75.12086843410468,-79.62298061150533,116.3759081455083,0.5170021021056868,1.832521919110112,5.254543539320397,5.291990584731323,13.69663456454873,-75.44117671839194,-81.7599355718121,112.08771568623074,114.8511760855176,114.85131684592488,1.5247320599907113,1.5245912995834203,114.85131684592488,1.5245912995834203,3.170206362156085,5.2914062191705735,2.121784222575238,0.000584365560749589,5.2914062191705735,0.000584365560749589,100.89821308660221,112.12671804260228,11.189502599628526,-0.03900235637154026,112.12671804260228,-0.03900235637154026
6,440852.3344263525,-103830.9553782039,1146610.722005833,17.75954425727462,-75.48884029913933,-76.03995274108915,114.8017725326248,3.996217013222691,3.98865088290536,4.397414071579721,4.015794848826729,20.3199284930015,-83.65753696870524,-84.78469252213836,120.83015795613495,114.80312484507088,114.92894517485192,-0.001352312446087467,-0.12717264222712288,114.92894517485192,-0.12717264222712288,3.165478927320316,4.015523921193965,0.8503159215064136,0.0002709276327648169,4.015523921193965,0.0002709276327648169,101.84274807818655,119.77472448539913,18.98740987794841,1.0554334707358208,119.77472448539913,1.0554334707358208
7,440869.8007027027,-103908.1833029601,1146533.114019649,19.18150256920159,-75.15861925065559,-76.84188656151994,116.8318825561855,4.588163556169805,4.381443993525488,4.554938826598334,0.5859967810131226,17.466276350198314,-77.22792475619644,-77.60798618383706,110.87029670385517,114.75268409793284,114.96340479958772,2.0791984582526624,1.868477756597784,114.96340479958772,1.868477756597784,3.160638507535924,0.5865971378992678,-2.5746417265228017,-0.0006003568861452369,0.5865971378992678,-0.0006003568861452369,102.74084551177586,111.1726044943408,8.129451192079316,-0.30230779048562795,111.1726044943408,-0.30230779048562795
8,440884.6971843937,-103991.3627456635,1146452.854080003,17.31924875804789,-77.59661529712304,-76.88537904334252,114.6390898040184,4.049356839651609,4.478553728027789,3.156827901234336,2.059251262470275,14.896481690986548,-83.17944270340377,-80.25993964611553,116.54348015747956,114.69992566812776,114.95685864320939,-0.06083586410936448,-0.31776883919098964,114.95685864320939,-0.31776883919098964,3.155689771117595,2.0594477042323938,-1.0964385086473198,-0.00019644176211874864,2.0594477042323938,-0.00019644176211874864,103.59342760337805,115.76564140186852,12.950052554101518,0.7778387556110431,115.76564140186852,0.7778387556110431
9,440899.2712956822,-104066.9911615472,1146375.49384592,19.90028621345358,-75.979170069668,-77.09877188453495,115.9137673627475,2.991961732775085,4.60907755966107,3.609010488536469,1.24252674292336,14.574111288471613,-75.62841588369338,-77.3602340829093,109.16349127015022,114.64492137967989,114.91354774431649,1.2688459830676209,1.000219618431018,114.91354774431649,1.000219618431018,3.150637386380013,1.2429365264410903,-1.908110643456653,-0.0004097835177303555,1.2429365264410903,-0.0004097835177303555,104.40141656900103,109.39569439040561,4.762074701149189,-0.23220312025539158,109.39569439040561,-0.23220312025539158
10,440917.0965644951,-104144.5102160249,1146295.366109913,17.38790151426191,-73.51022031711585,-76.19857516429363,115.2488598659501,4.657677483742805,3.349715363755316,0.6578418999031839,0.6360354406425537,17.82526881294325,-77.51905447769968,-80.12773600709625,112.90437588062372,114.58774305661349,114.83948934304034,0.6611168093366047,0.40937052290975373,114.83948934304034,0.40937052290975373,3.145486021637863,0.6366207541450639,-2.5094505809953094,-0.0005853135025102318,0.6366207541450639,-0.0005853135025102318,105.16573462465274,112.5791418304597,7.738641255970975,0.3252340501640134,112.5791418304597,0.3252340501640134
