T,x,y,z,Vx,Vy,Vz,V,Ax,Ay,Az,A,dx,dy,dz,displacement,V_pred_poly,V_pred_gpr,V_deviation_poly,V_deviation_gpr,V_pred,V_deviation,A_pred_poly,A_pred_gpr,A_deviation_poly,A_deviation_gpr,A_pred,A_deviation,displacement_pred_poly,displacement_pred_gpr,displacement_deviation_poly,displacement_deviation_gpr,displacement_pred,displacement_deviation
1,440770.0975522729,-103445.0900777133,1147017.315608511,16.1792296490432,-70.21215654616466,-81.15319585258204,110.3990480268307,1.361654005460438,0.637549400537242,0.876409639221672,4.129813012792489,0.0,0.0,0.0,0.0,114.95049074833707,113.51710513160916,-4.551442721506376,-3.118057104778458,113.51710513160916,-3.118057104778458,2.4201411599834857,4.129812977262101,1.7096718528090036,3.553038840919953e-08,4.129812977262101,3.553038840919953e-08,96.95346419474498,18.957948366445365,-96.95346419474498,-18.957948366445365,18.957948366445365,-18.957948366445365
2,440785.9272395193,-103516.0729870818,1146936.058359104,17.90600232118629,-73.62367664182493,-78.84904930177095,113.2743018909173,0.3845942957172127,0.8482090483377875,2.211871723124934,1.991528355950066,15.829687246412504,-70.98290936849662,-81.25724940700457,109.04995645082846,114.84117669446879,113.88414850472206,-1.5668748035514852,-0.6098466138047627,113.88414850472206,-0.6098466138047627,2.3891874928737304,1.9915283559510952,-0.3976591369236644,-1.0291767438275201e-12,1.9915283559510952,-1.0291767438275201e-12,98.06234090470534,101.15984049829191,10.987615546123124,7.890115952536547,101.15984049829191,7.890115952536547
3,440801.238063263,-103597.8589206392,1146853.843535494,16.66288598670979,-76.1001614119102,-79.83285684358307,115.0605520079462,2.443730658710802,1.512397815508992,2.013731810679777,4.039946447540159,15.310823743697256,-81.78593355740304,-82.2148236099165,116.9728065525325,114.73187204358301,114.20009227483914,0.32867996436318947,0.8604597331070636,114.20009227483914,0.8604597331070636,2.3592281597711247,4.039946413503064,1.6807182877690345,3.403709492033613e-08,4.039946413503064,3.403709492033613e-08,99.12252664696433,118.34361583977616,17.850279905568172,-1.3708092872436595,118.34361583977616,-1.3708092872436595
4,440817.3569655954,-103675.0011170336,1146775.238586312,17.21720956078217,-77.08670541626394,-79.89646938180752,116.4495505688508,0.3387580873995747,0.1726050641949006,1.393512348884282,1.550307936173967,16.118902332382277,-77.1421963943867,-78.60494918213226,111.30802088293818,114.62260630678668,114.45610338302374,1.8269442620641172,1.9934471858270513,114.45610338302374,1.9934471858270513,2.330250259781969,1.5503079435066611,-0.7799423236080023,-7.332694229589265e-09,1.5503079435066611,-7.332694229589265e-09,100.13491442021137,110.45331421966858,11.173106462726807,0.8547066632695959,110.45331421966858,0.8547066632695959
5,440832.0612052579,-103750.760505782,1146694.376029906,17.18726672511162,-76.65514691117052,-79.97940722133306,116.1355993206437,0.4204863211594684,1.490464722047396,3.117477165181403,1.494394909694267,14.704239662503824,-75.75938874841086,-80.86255640583113,111.77858773518035,114.51340899518675,114.64640559628604,1.6221903254569554,1.489193724357662,114.64640559628604,1.489193724357662,2.3022408920125663,1.494394917956056,-0.8078459823182993,-8.26178903068353e-09,1.494394917956056,-8.26178903068353e-09,101.10039722313589,112.29971424294118,10.678190512044466,-0.521126507760826,112.29971424294118,-0.521126507760826
6,440850.874441235,-103833.0784752434,1146611.260510956,18.19334786597438,-78.46836888653692,-79.166416822271,115.8680112276219,0.4569809044424317,2.058102812969554,1.990991120603361,1.981649530923748,18.813235977082513,-82.31796946139366,-83.11551895015873,118.48365049461688,114.40430961989013,114.76856416228868,1.4637016077317782,1.099447065333223,114.76856416228868,1.099447065333223,2.275187155569216,1.9816495310889315,-0.29353762464546795,-1.651834224958293e-10,1.9816495310889315,-1.651834224958293e-10,102.01986805442726,116.35190555955894,16.46378244018962,2.131744935057938,116.35190555955894,2.131744935057938
7,440866.9808161074,-103908.9744517793,1146533.197256451,19.00386143303992,-77.08893676233406,-77.37796976678248,116.4369212537375,2.415319606140751,0.196402849923478,1.157397868118223,0.8995333299949553,16.106374872440938,-75.89597653590317,-78.06325450493023,110.0612841546539,114.29533769200377,114.8235158568446,2.141583561733725,1.613405396892901,114.8235158568446,1.613405396892901,2.24907614955822,0.8995333481414316,-1.3495428195632648,-1.8146476321589944e-08,0.8995333481414316,-1.8146476321589944e-08,102.89421991277494,111.39496021264502,7.167064241878961,-1.3336760579911129,111.39496021264502,-1.3336760579911129
8,440883.9368716901,-103991.3614320059,1146449.960544908,18.92955493206034,-77.23593924090454,-78.27851859791805,113.9484101072211,2.29989080971536,2.322074767449652,0.5294072893393785,0.7685620410320801,16.956055582675617,-82.3869802265981,-83.23671154305339,118.33626865962155,114.18652272263462,114.81534232635269,-0.23811261541352735,-0.8669322191315985,114.81534232635269,-0.8669322191315985,2.22389497308588,0.768562061354878,-1.4553329320537998,-2.032279788899416e-08,0.768562061354878,-2.032279788899416e-08,103.72434579686833,116.13967923647233,14.611922862753218,2.19658942314922,116.13967923647233,2.19658942314922
9,440900.0429861703,-104067.7734600667,1146371.459230194,16.49449808163816,-78.58120231801506,-77.62431819591008,115.124945395794,2.855979130090447,1.163669042294212,1.106567931337637,2.087855922319776,16.106114480178803,-76.412028060804,-78.50131471385248,110.72787078155633,114.07789422288961,114.75080947942335,1.0470511729043892,0.3741359163706477,114.75080947942335,0.3741359163706477,2.199630725258496,2.0878559207201506,-0.11177480293872,1.5996253210914801e-09,2.0878559207201506,1.5996253210914801e-09,104.51113870539686,111.47343257780905,6.216732076159474,-0.7455617962527157,111.47343257780905,-0.7455617962527157
10,440915.523871485,-104147.0609494752,1146293.430777708,16.9772600224719,-77.35682679812481,-77.26487511059909,113.6136407235473,2.911494143828857,0.9611442307558032,2.127437533317219,1.146706767357215,15.480885314755142,-79.28748940849619,-78.02845248603262,112.31475051922631,113.96948170387566,114.63871842552054,-0.35584098032835243,-1.0250777019732311,114.63871842552054,-1.0250777019732311,2.1762705051823703,1.1467067813964633,-1.0295637378251552,-1.4039248208419508e-08,1.1467067813964633,-1.4039248208419508e-08,105.25549163704991,111.4389682512469,7.059258882176394,0.8757822679794032,111.4389682512469,0.8757822679794032
11,440929.6854127781,-104223.4592472867,1146214.438807827,18.22372769941585,-78.55347050806698,-75.7719702760661,112.5896359226505,2.977463004023515,0.9649936078890173,1.613991967425523,2.335000995392401,14.161541293084156,-76.39829781149456,-78.99196988111362,110.80153638821216,113.86131467669973,114.48913147914107,-1.2716787540492334,-1.8994955564905638,114.48913147914107,-1.8994955564905638,2.153801411963803,2.335000989686019,0.18119958342859777,5.70638203356566e-09,2.335000989686019,5.70638203356566e-09,105.95829759051693,110.99822582151778,4.843238797695221,-0.19668943330562172,110.99822582151778,-0.19668943330562172
