T,x,y,z,Vx,Vy,Vz,V,Ax,Ay,Az,A,dx,dy,dz,displacement,V_pred_poly,V_pred_gpr,V_deviation_poly,V_deviation_gpr,V_pred,V_deviation,A_pred_poly,A_pred_gpr,A_deviation_poly,A_deviation_gpr,A_pred,A_deviation,displacement_pred_poly,displacement_pred_gpr,displacement_deviation_poly,displacement_deviation_gpr,displacement_pred,displacement_deviation
1,440772.4065877277,-103441.9664344584,1147020.372101378,19.13138150981134,-70.59216219205867,-76.59614258675617,114.9056472620337,8.591941078054488,2.536383786152829,2.360245922454064,7.984470458683656,0.0,0.0,0.0,0.0,116.70731268976066,116.80129958693374,-1.8016654277269595,-1.8956523249000412,116.80129958693374,-1.8956523249000412,7.064392629798488,7.984318445458426,0.9200778288851685,0.00015201322523061833,7.984318445458426,0.00015201322523061833,96.92984585786687,9.300449201532501e-05,-96.92984585786687,-9.300449201532501e-05,9.300449201532501e-05,-9.300449201532501e-05
2,440784.7540238043,-103515.4958293045,1146939.51286817,23.07987983243998,-73.51749815025273,-74.18655334318277,120.063297601983,5.589607192505225,0.09174430324668426,4.299612817797853,10.78619153762945,12.347436076554004,-73.52939484610397,-80.85923320800066,109.98748419290571,116.80403157389549,116.94935193861501,3.2592660280875094,3.1139456633679856,116.94935193861501,3.1139456633679856,6.914015314452311,10.785900140750691,3.8721762231771395,0.0002913968787598975,10.785900140750691,0.0002913968787598975,98.0592112829073,109.98748275679057,11.928272909998412,1.4361151414732376e-06,109.98748275679057,1.4361151414732376e-06
3,440802.9669188471,-103593.1819974627,1146854.659306854,24.23900823088665,-69.11137428873327,-77.61375759097317,113.6256714233425,3.657282603302145,4.076772355349616,5.486690290569884,8.936485764417345,18.212895042845048,-77.68616815819405,-84.85356131591834,116.47736748801978,116.88911304022858,117.06283363244502,-3.263441616886084,-3.4371622091025245,117.06283363244502,-3.4371622091025245,6.76980603578676,8.936288107894327,2.1666797286305846,0.00019765652301728664,8.936288107894327,0.00019765652301728664,99.13868836006176,116.47736047937497,17.338679127958017,7.008644814732179e-06,116.47736047937497,7.008644814732179e-06
4,440819.0608928776,-103666.4528037706,1146776.620655138,17.06412849210087,-72.49191932970709,-77.81866299035968,118.3554136040861,1.898396283231543,0.4133042908947722,8.259771119385464,6.378875781143376,16.09397403046023,-73.27080630790442,-78.03865171596408,108.2481326340049,116.96283819902708,117.13929297135739,1.39257540505902,1.2161206327287033,117.13929297135739,1.2161206327287033,6.631641994320559,6.378810475728946,-0.25276621317718373,6.53054144299503e-05,6.378810475728946,6.53054144299503e-05,100.16919811868581,108.24813269138167,8.07893451531909,-5.737676644912426e-08,108.24813269138167,-5.737676644912426e-08
5,440837.6035114316,-103742.9586693839,1146697.290478211,24.53575650271014,-77.45811265790039,-76.54187909745582,117.0813226069675,2.448224348060689,5.789625108639664,2.249669234325264,9.58883736321085,18.542618554027285,-76.50586561328964,-79.3301769271493,111.75980112442802,117.02548816055814,117.17812399250836,0.055834446409363636,-0.09680138554085715,117.17812399250836,-0.09680138554085715,6.499400390572433,9.588596129656597,3.089436972638417,0.00024123355425231807,9.588596129656597,0.00024123355425231807,101.15166158813504,111.7597981665153,10.608139536292981,2.957912727197254e-06,111.7597981665153,2.957912727197254e-06
6,440851.2933423944,-103832.5203529744,1146616.988769003,25.42992303732752,-75.81581994086453,-78.67502086178591,120.1114293526892,5.681204106987232,3.844576942211294,3.587187977959015,5.241930203307343,13.689830962801352,-89.56168359050935,-80.30170920793898,121.06639145969858,117.07734403508893,117.18069587337284,3.0340853176002724,2.930733479316359,117.18069587337284,2.930733479316359,6.372958425061104,5.241919797739947,-1.1310282217537608,1.0405567396176707e-05,5.241919797739947,1.0405567396176707e-05,102.086999797765,121.06638051069443,18.979391661933576,1.094900414955191e-05,121.06638051069443,1.094900414955191e-05
7,440873.4174844468,-103902.8245728827,1146534.374110002,20.01420738302886,-77.41013993768098,-77.52727854074271,119.0194696854862,2.813652279502034,0.2862238353735997,1.991053322379028,7.338889137899935,22.124142052372918,-70.30421990829927,-82.6146590008866,110.71288488834917,117.11868693288656,117.15034157587736,1.900782752599639,1.8691281096088375,117.15034157587736,1.8691281096088375,6.2521932983053,7.33875913692297,1.0866958395946353,0.00013000097696469481,7.33875913692297,0.00013000097696469481,102.97613377693125,110.71288282936968,7.736751111417917,2.0589794900160996e-06,110.71288282936968,2.0589794900160996e-06
8,440883.719286394,-103984.9824871373,1146455.766708254,22.61211487782765,-72.02612995219256,-73.28537181875957,113.8315319439038,8.81974085835794,6.885731545476737,5.279604236257405,4.777309199331681,10.301801947236527,-82.15791425459611,-78.60740174795501,114.17168478913698,117.14979796421821,117.09219493807734,-3.318266020314411,-3.2606629941735434,117.09219493807734,-3.2606629941735434,6.136982210823743,4.777309232294316,-1.3596730114920623,-3.296263528795862e-08,4.777309232294316,-3.296263528795862e-08,103.81998455498936,114.17167976026354,10.351700234147614,5.028873431456304e-06,114.17167976026354,5.028873431456304e-06
9,440898.9487009044,-104063.4965990319,1146372.892497829,20.81422731088605,-75.07664335547271,-73.62562742948779,118.0148392488368,0.7458837834382681,8.71400102988257,7.913178486400879,2.609686078490257,15.229414510366041,-78.51411189460487,-82.8742104251869,115.17176557874434,117.17095823935102,117.01287835397434,0.84388100948577,1.0019608948624494,117.01287835397434,1.0019608948624494,6.027202363135159,2.6097901873661304,-3.4175162846449023,-0.00010410887587353201,2.6097901873661304,-0.00010410887587353201,104.6194731612949,115.17175969115287,10.552292417449436,5.8875914703548915e-06,115.17175969115287,5.8875914703548915e-06
10,440915.6639239881,-104145.3251732374,1146295.786410186,20.96997702560666,-72.05008262278373,-71.51230289139109,120.9252006105597,7.32787223403497,7.309368005546986,3.775424889993455,2.377061163844597,16.715223083738238,-81.82857420550135,-77.10608764295466,113.6690942642167,117.18244886855214,116.92005708269681,3.742751742007556,4.005143527862884,116.92005708269681,4.005143527862884,5.922730955758272,2.37717995484498,-3.5456697919136753,-0.00011879100038303392,2.37717995484498,-0.00011879100038303392,105.37552062520346,113.66908966689196,8.293573639013232,4.597324732458219e-06,113.66908966689196,4.597324732458219e-06
