T,x,y,z,Vx,Vy,Vz,V,Ax,Ay,Az,A,dx,dy,dz,displacement,V_pred_poly,V_pred_gpr,V_deviation_poly,V_deviation_gpr,V_pred,V_deviation,A_pred_poly,A_pred_gpr,A_deviation_poly,A_deviation_gpr,A_pred,A_deviation,displacement_pred_poly,displacement_pred_gpr,displacement_deviation_poly,displacement_deviation_gpr,displacement_pred,displacement_deviation
1,440771.44853904,-103443.272211259,1147020.194793147,16.36567405743214,-72.61087673626467,-78.06115966927631,111.1664377867748,0.973099422470894,-1.784470684202796,1.687481743073513,5.480753516258051,0.0,0.0,0.0,0.0,114.93514318918854,113.39451275035744,-3.768705402413744,-2.2280749635826425,113.39451275035744,-2.2280749635826425,3.4272176704261605,5.4807533639147445,2.053535845831891,1.5234330685842679e-07,5.4807533639147445,1.5234330685842679e-07,97.23545361773301,1.0397581604593142e-06,-97.23545361773301,-1.0397581604593142e-06,1.0397581604593142e-06,-1.0397581604593142e-06
2,440787.6767761876,-103516.9415849715,1146936.899702445,18.73675554579916,-71.7744536549622,-77.86008205944792,111.7535432075935,1.593032945355481,-1.215589210410531,1.67779401270431,4.450157337122595,16.22823714761762,-73.66937371250242,-83.29509070212953,112.37706367042895,114.86668268857223,113.63312440166632,-3.113139480978731,-1.879581194072827,113.63312440166632,-1.879581194072827,3.349812958799814,4.450157239479721,1.1003443783227804,9.764287334235178e-08,4.450157239479721,9.764287334235178e-08,98.3313667381959,112.37706363049196,14.045696932233056,3.9936992379807634e-08,112.37706363049196,3.9936992379807634e-08
3,440802.9173143288,-103596.1571360251,1146854.472054207,19.26640545474586,-75.80632344497882,-79.53007039609088,114.4087002488836,0.8916390916562011,-0.5193854124058721,3.988054847065805,1.692406101753583,15.240538141166326,-79.21555105359585,-82.4276482379064,115.33297327993078,114.79603140379959,113.84976727958274,-0.3873311549159837,0.5589329693008693,113.84976727958274,0.5589329693008693,3.2756510016719655,1.6924061504824799,-1.5832448999183826,-4.872889691753812e-08,1.6924061504824799,-4.872889691753812e-08,99.37886821020429,115.33297321159432,15.954105069726495,6.833646182258235e-08,115.33297321159432,6.833646182258235e-08
4,440818.074405415,-103673.6377164134,1146775.312939665,18.07008430391694,-75.37867875837425,-78.51017088356865,118.2888238013243,0.796412075085424,1.530665706961472,0.4227901876510054,2.629545708903326,15.157091086206492,-77.48058038830641,-79.15911454195157,111.79956691584356,114.72326768318119,114.0405349134468,3.565556118143107,4.248288887877493,114.0405349134468,4.248288887877493,3.2046749769561678,2.629545707892137,-0.5751292680528417,1.0111889103825433e-09,2.629545707892137,1.0111889103825433e-09,100.37885026553538,111.79956688145532,11.42071665030818,3.4388236258564575e-08,111.79956688145532,3.4388236258564575e-08
5,440831.7196775574,-103749.4553084341,1146693.957717429,17.26336949121103,-75.86965956779957,-76.92786175988637,114.3197953894468,2.756408416686404,-0.1547693707872789,1.972474142637674,4.038974308155434,13.645272142428439,-75.81759202069952,-81.35522223613225,112.04094294831974,114.64846987502759,114.20276231583418,-0.32867448558079104,0.1170330736126175,114.20276231583418,0.1170330736126175,3.136828062565974,4.038974232336715,0.90214624558946,7.581871930284478e-08,4.038974232336715,7.581871930284478e-08,101.33220513596636,112.04094291161242,10.708737812353377,3.6707319850393105e-08,112.04094291161242,3.6707319850393105e-08
6,440852.1787260853,-103832.1006217795,1146612.648772262,18.99570729451192,-78.60235111161622,-78.64646192216237,116.4686937573688,1.630161556434841,2.284660768580494,0.7159402706335984,2.442116647615021,20.459048527874984,-82.6453133453906,-81.3089451668784,117.7283527820473,114.57171632764937,114.33508226213561,1.8969774297194277,2.1336114952331826,114.33508226213561,2.1336114952331826,3.0720534364149374,2.4421166565519097,-0.6299367887999163,-8.936888562516287e-09,2.4421166565519097,-8.936888562516287e-09,102.23982505327442,117.72835269069654,15.48852772877288,9.13507562927407e-08,117.72835269069654,9.13507562927407e-08
7,440868.3377807359,-103908.1772145089,1146531.988369833,18.64965033745014,-78.95405778832638,-77.94185640395922,115.1240314791381,1.711822525325943,2.522348226786294,0.781785424615795,2.398913455834126,16.15905465063406,-76.07659272941237,-80.66040242905729,112.048487399592,114.49308538935709,114.43738007163888,0.6309460897810055,0.6866514074992125,114.43738007163888,0.6866514074992125,3.0102942764166114,2.3989134670640886,-0.6113808205824856,-1.122996273750232e-08,2.3989134670640886,-1.122996273750232e-08,103.10260224923674,112.04848736281221,8.945885150355267,3.6779795209440636e-08,112.04848736281221,3.6779795209440636e-08
8,440884.2916729659,-103992.0532633808,1146452.954683307,16.68399991676536,-75.12998760975663,-75.80772793912631,115.1351472985647,3.729383795915322,4.291463887245723,2.139460467060712,2.824950923122198,15.953892229998019,-83.87604887189809,-79.03368652588688,116.34449646424872,114.41265540846133,114.51065462700491,0.7224918901033703,0.6244926715597927,114.51065462700491,0.6244926715597927,2.9514937604845493,2.824950911739585,-0.12654283736235117,1.138261307431776e-08,2.824950911739585,1.138261307431776e-08,103.92142895563052,116.34449638619377,12.423067508618203,7.805495272350527e-08,116.34449638619377,7.805495272350527e-08
9,440900.5034235441,-104068.7536651814,1146372.710129363,18.36451296754932,-76.40904880662762,-77.31147287346728,113.0918332568212,0.2908472944990736,1.709021762294904,3.003123959425287,3.450439853542243,16.21175057819346,-76.70040180059732,-80.24455394409597,112.18271226383126,114.33050473327266,114.55680267491056,-1.238671476451458,-1.4649694180893533,114.55680267491056,-1.4649694180893533,2.8955950665323043,3.4504398089608697,0.5548447870099387,4.458137325968892e-08,3.4504398089608697,4.458137325968892e-08,104.69719740423295,112.18271222576185,7.485514859598311,3.80694160639905e-08,112.18271222576185,3.80694160639905e-08
10,440914.6023296094,-104145.1902791317,1146294.065646803,19.29753732959783,-77.98728670036108,-76.76830831903703,112.0820229900721,2.172244706455209,2.458112940038001,4.346416697297782,1.311434582472251,14.098906065279152,-76.4366139502963,-78.64448255999014,110.5725541965672,114.24671171210164,114.57835078833463,-2.1646887220295383,-2.496327798262527,114.57835078833463,-2.496327798262527,2.8425413724734296,1.311434651421781,-1.5311067900011786,-6.894952986336023e-08,1.311434651421781,-6.894952986336023e-08,105.43079982682123,110.57255417396783,5.141754369745968,2.259936593418388e-08,110.57255417396783,2.259936593418388e-08
